judet	an	servicii_publice_generale	aparare	invatamant	sanatate	cultura	asigurari_sociale	dezvoltare_locuinte_mediu	mediu	energie	transporturi	altele
	2012	198977268	15306948	161448699	16777352	124466731	87552468	100437667	97770803	3158887	363067557	13940433
	2013	215809812	17382059	178369548	21757627	140889296	105039343	103875739	84935936	2408163	226971454	22690498
	2014	232136872	14902717	211033733	29472205	141738493	109557102	167097879	116415180	3090820	244866046	6793937
Maramureş	2007	83062291	3280141	271065156	3412607	40965070	122703445	79976204		565574	94045391	2877325
	2008	99634606	4211142	307725573	4348690	47451894	139656894	99423793	0	358382	112982359	8759574
	2009	99775227	4156867	326460957	4730322	46849853	146245239	115407588	0	615080	92349564	6211960
	2010	84521922	4021596	269642034	11051839	46164965	165293400	101950501	0	752753	121436959	12773031
	2011	89865757	6742223	237683938	36048666	51396451	136866806	94060637	37369092	0	134425106	10707353
	2012	102444550	8068211	253405915	26031629	55806747	135286546	82639930	91264339	0	150216398	11204774
	2013	98815300	8857521	295090942	32181611	63228946	149852169	96192514	48797837	0	171976466	13680794
	2014	111637441	7890380	362518355	33665935	79933565	150783132	92520421	55753648	0	209271571	14550488
Mehedinţi	2007	60263875	7062689	144530305	2054066	15698134	84831560	46257953		4369545	39720304	1860811
	2008	76450120	11196228	177053610	4619581	26120491	102840536	50603337	0	4241993	48340762	1955173
	2009	81238204	11211852	172792144	7782304	32407862	105395308	58756205	0	4327711	42118196	281735
	2010	66208790	9116985	139102068	11194602	32452300	122459154	75234060	0	4471000	85863636	356325
	2011	67906358	7927004	125022708	6546707	56680541	100478159	78884572	17125998	9233000	148473790	9373149
	2012	79623084	7847581	145348240	16581146	49291981	100590187	69270676	60324958	4514116	128317856	7078859
	2013	80331674	6871682	157485396	13527354	39472841	113478095	48626560	27715127	2220127	194957008	3411687
	2014	78382145	6302579	182952106	16644950	50846203	127862325	50469040	47114266	3184040	116820285	9161317
Mureş	2007	110024706	9965603	279820416	3644471	51314841	133012585	93287234		40806418	110913586	3013078
	2008	146320490	15485261	347447988	6473335	77642427	155262334	146902430	0	26993661	198968446	8224496
	2009	141836158	16421930	358754847	7631081	69842244	165880517	129002841	0	31441756	108464243	11555875
	2010	130545986	13126378	300129098	19928683	72784179	170255855	143025976	0	31196927	123386204	4890520
	2011	134376883	11390895	271961167	23711267	93411164	146114654	104475694	97282264	17618741	231665430	9829246
	2012	147866194	13563266	289193057	17636109	123939609	154230291	96420853	123247470	1905964	186199102	8822887
	2013	154719437	13917536	318804881	21547698	102190827	166424385	78325840	172454712	777634	236999472	13018151
	2014	157651209	14979106	349184268	25537280	106243370	164116110	105906706	65554413	35377	267331674	15050257
Neamţ	2007	101913976	5844995	269316106	1625947	36217382	133383796	65516694		9170179	60457193	3760902
	2008	140993109	10143039	313128453	3645758	44791032	153747159	78401739	0	8237881	89598676	4105517
	2009	136501408	12439587	308153643	3038056	52147532	142787232	99215902	0	10469724	69043241	10890204
	2010	137960570	13117909	262932423	7839316	40964824	172072344	93814809	0	9221000	108763190	16781547
	2011	115830775	6349894	248331061	16676044	80583879	151818615	101991589	50546719	6888607	164169888	40281607
	2012	121367004	10980890	278869885	19547161	78704562	140732746	94536302	25212564	763962	156951848	15325971
	2013	135793215	8812863	296834019	25425386	54484195	148863044	75120688	85527255	380263	153675041	8767593
	2014	157462400	11280516	361231487	23095506	55618955	152922037	85166268	74132648	237564	166239942	7071647
Olt	2007	111474754	5939184	230950173	2048757	21987023	115741751	60625096		9164687	64898440	2959209
	2008	156705427	9039661	273766298	2983603	30828008	129647814	82874035	0	3534080	96944393	2638960
	2009	142227957	7527140	263901329	4246586	27868362	126803354	106103168	0	8431820	51536405	2832987
	2010	114306853	7453210	221513325	9322803	30382742	149505753	116281729	0	1981041	68465833	2828974
	2011	103054026	6014637	205480103	10311693	36835390	116793529	112837418	27478669	1809372	92831973	3040483
	2012	134546248	20343914	227696235	21223047	33160392	114005377	107732625	25314605	3025000	124569105	7251301
	2013	131844307	9898345	252417975	12910762	34534592	126383767	128697304	36231905	15000	110899949	7190003
	2014	148910978	7722795	305231312	24630033	44865625	134651549	150939854	47282584	15000	146950544	10158861
Prahova	2007	156865906	25534490	335047076	14973307	64781696	182785930	149569753		45624309	169895066	2027042
	2008	200860192	36882403	412884966	10249647	83294411	219953609	165411654	0	49393417	253548952	2300363
	2009	202963146	35744157	431838350	12475587	84312116	237193624	216713047	0	41008240	185780343	32919310
	2010	190306893	26468655	370058252	18520006	79177526	248795018	195558061	0	42218959	281975894	27697522
	2011	201029346	22106596	328460483	22655825	96962603	224831868	154776918	74173000	44339682	272171704	10936006
	2012	210465893	23263126	340034273	30999650	110412118	237101140	145264972	92070255	48118384	291038910	8214272
	2013	204895935	23517784	377518059	32304695	115373103	266847412	185373945	55809856	38365603	223184388	11636924
	2014	235543986	25198162	424856605	48295159	103190266	275020698	169354544	73502837	35398411	312312613	13624500
Satu Mare	2007	76999069	5925027	198200069	3245382	36002161	94703992	43189494		0	53235742	516169
	2008	114822216	9179792	249107244	1740449	46704645	104300550	60694098	0	0	82387917	861908
	2009	108664199	9487592	243282049	1711690	38184524	105147932	61749932	0	0	58626935	799469
	2010	91973385	8478724	205255111	4261408	37211525	116640621	104334286	0	0	60197764	1988059
	2011	88706299	8802423	184707440	13241290	57487151	92013086	68114893	102994090	31000	77625065	2141701
	2012	97748774	6379868	198085828	2347240	60170533	100496656	52122893	45363872	0	122945689	23280181
	2013	99509866	6496665	226277558	10458063	54553339	107579730	57402209	52055829	0	172150392	24329739
	2014	110846303	9501469	270910080	27194865	57306996	115782784	70531661	33661580	0	171026459	19825732
Sălaj	2007	49563287	4229415	145221168	1002948	16705981	76079327	34966876		1128872	49092512	1017994
	2008	65072162	5750356	167155663	1449366	28896514	94460338	41691524	0	1283481	70448786	5061408
	2009	68556211	5641754	164242876	2825450	21044843	97633934	47386975	0	1141478	35820774	8373789
	2010	59265666	4368620	141789856	4547381	23709599	104740291	38524021	0	907185	43579645	9054053
	2011	53052085	3770943	131844349	16116791	28422882	90478698	29091640	18539215	1398567	136071242	21583832
	2012	60671819	4237536	141825312	21422589	33441483	90444594	28947017	26216555	733986	96336176	47254996
	2013	61070787	4622351	162764103	8785036	33479175	94332914	31178444	36856590	379783	113347042	45755793
	2014	66599872	4473623	184772016	4855034	38946943	99604785	46648726	58790979	289394	103810984	36379805
Sibiu	2007	71723368	8466096	211539863	3481508	72453318	115977934	107045048		1264283	131949947	1985028
	2008	116428527	12275194	246677903	5101367	58159006	134594783	136427196	0	541244	162536692	2002353
	2009	118125839	17447847	246286805	5002462	61281486	151447914	150004217	0	386433	143890467	7066044
	2010	97541722	7124742	208033302	6762941	70433853	154970684	131443787	0	418586	174991636	9417698
	2011	93949773	10196685	188132770	11900783	66812767	140748681	89033424	96128756	336469	245744359	3877979
	2012	97334815	11064142	202041836	20237610	78181668	137180048	95074058	69007028	373301	252744960	4009051
	2013	101600530	10399568	237518913	30400659	91803494	139378210	64749968	80874661	342880	270998712	6708728
	2014	95044578	12905215	275829695	37689202	102903887	135006779	75992769	99832082	330739	289044394	9250465
Suceava	2007	117693782	7341655	359496947	1262935	38927955	174587017	74654196		57001778	104117009	6569523
	2008	163702179	11344005	447577023	1775519	54692635	213570363	88620281	0	33909056	141358486	15676401
	2009	167336395	10481751	453590042	5760073	51182982	197846913	118057716	0	35139599	129523840	22752366
	2010	150722007	8999520	385075288	18806973	49141263	226969201	137003222	0	37918160	179253947	32039014
	2011	143414089	8200665	358544574	31716553	67493775	184517845	113878263	92437783	45552992	236847503	36244006
	2012	152000719	8933689	378259738	33058451	72339365	194396126	104511823	139929537	40929305	264672417	34864969
	2013	154101920	9728246	431625238	23132932	65920611	202395711	93314361	68977521	27582734	265522073	17838861
	2014	166182510	10618059	530584095	17523305	77923374	206296096	121297345	83935047	29380935	266934403	26182610
Teleorman	2007	81121140	6064556	178131173	1121769	17073779	96135363	50321674		16535573	56507494	5772758
	2008	117831466	9412581	207915836	1704125	26405408	100410575	69137680	0	13373577	119373028	5748170
	2009	106042526	10360015	198063574	1434483	19151134	91522884	58036959	0	14719627	60446636	8901235
	2010	100357565	8220816	168728036	2591844	18464447	108957659	47610107	0	14354353	46281965	77048363
	2011	88446032	6200631	146368089	2594084	25559646	77826983	44878574	11510285	11652473	67874272	57701364
	2012	112429503	8249970	158989677	11424825	29450284	81536514	61609483	18618050	2057019	98477139	18818136
	2013	103231067	9411263	179747014	13526322	28581538	92426767	46507553	13825509	825000	89766528	49885235
	2014	107304520	9162222	215661470	52919340	29413574	96858264	58934762	13990627	0	140352628	43882567
Timiş	2007	152541119	11537085	319428976	4417681	82171584	172303158	128973259		142746151	189985456	1654243
	2008	220924570	22436748	393532437	5329690	132526788	220065047	169960984	0	94797035	237895481	2802904
